,pressure,perimeter,polygon_perimeter,feret_d,area,label,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y
cell_1,0.639598,460.7766952966369,437.9884572033926,156.28499608087785,12058,22.0,604.4905456958036,200.4047105655996,0.020809907680822658,0.013178060516554842,0.4850082893469755,0.22454555447232313,1089.20974639152,922.0732553209705,0.3170221244075717,0.08309943997351069,0.16680071336146043,0.00042719035231946986,136,129
cell_2,1.123375,363.1614716074871,347.2566980914893,121.41251994749142,8376,24.0,507.5870343839542,202.40807067812798,0.04793739115508716,0.038614911902656035,0.38739406655787423,0.10770919921347041,847.9420965815552,562.2419729452184,1.163965431501429,0.20259775288215487,0.1683600847095002,0.0005172560597236936,103,121
cell_3,1.502818,308.73506473629425,295.906538157699,99.46356116689167,6334,27.0,710.6520366277234,195.67113988001262,0.06657659159791655,0.056916298274802796,0.080178163406371,0.07822550215700962,561.8425300456772,459.5185487509074,1.0343522804701268,0.10018394416921847,0.1612505650136698,3.9063899290451536e-05,90,98
cell_4,0.955743,349.74725804511405,342.6378045178427,120.14990636700472,8137,29.0,203.87415509401498,210.19552660685756,0.03577221048574333,0.03135700532644815,1.4256335153181672,0.06577173747489737,753.6353053406211,570.8337928509429,1.4973081999184326,0.13801870707234784,0.1627711808026993,6.15864520147404e-05,97,120
cell_5,1.270736,295.76450198781714,287.7676658678856,104.65658125507444,5886,30.0,290.02922188243286,199.69096160380565,0.0694709221441147,0.0449331308184321,0.9893534856893017,0.21448358419360974,624.0828832897247,366.13795140166906,0.5163452272970025,0.26049232943926615,0.1682332372904169,0.00030257375122587533,94,84
cell_6,0.993885,312.048773235279,303.05571932265684,103.57605900979242,6335,31.0,893.5600631412786,210.00805051302288,0.047237206559978324,0.04130602748319133,0.7234519176904669,0.06698624847941766,608.0740154681804,444.6201416586676,0.9508491911040373,0.1552719493149204,0.16617113766801073,0.00041810908207251887,90,102
cell_7,1.312251,294.19090885901,281.4419421140006,112.27199116431488,5485,32.0,394.57484047402005,204.05724703737465,0.08273988012226281,0.0531925747183295,1.2588624862757378,0.2173675553684613,722.7928063637827,271.02388505202015,0.42441698965946334,0.45457972804639385,0.18118809323897958,0.0001835717114977668,106,80
cell_8,1.354523,314.43354954612926,303.2463213570572,102.9271587094485,6488,33.0,795.7586313193589,215.99861282367448,0.05870103960308673,0.055659697264303226,0.814001857513889,0.026594287708290767,635.5044583145844,429.6390380111753,0.5431691194730436,0.19327482260704523,0.164171315709889,3.3211582948475934e-05,101,96
cell_9,0.637784,463.62950903902254,443.67786254540704,158.11388300841898,12402,34.0,446.97855184647636,278.85873246250605,0.020262616432686797,0.011331731469451734,1.347786431544856,0.28267350194718077,1095.0157204203088,945.3729905993229,1.1750653988707984,0.07334030472370424,0.16452094105947684,0.0001002319996258431,131,158
cell_10,0.783038,308.3086578651014,301.8788376454165,111.64676439557037,5902,35.0,351.7533039647577,278.7419518807184,0.041606161215683196,0.029984600959862384,0.14075841646710877,0.16233323829300672,725.6084372813617,317.1500858103059,1.4234819055002437,0.3917094345678619,0.17667884159465733,0.00019681510268140077,68,111
cell_11,1.03858,338.5929291125633,326.36838125571245,115.36463929644994,7407,37.0,749.7630619684082,282.324962872958,0.03507153798773868,0.0294239988463613,0.1332574865071472,0.0875648055446749,725.5022677615618,492.29845967455896,0.739521093960037,0.19149586860403275,0.1644121408716242,1.0038625141195326e-05,97,103
cell_12,0.612301,454.13203435596427,434.5195821953837,155.08062419270823,11843,38.0,262.4688845731656,293.9290720256692,0.017952260942609394,0.013000141764166558,0.5065310068533689,0.1599914302406883,1152.3255308934326,816.7412346614747,0.5548961178269763,0.17042809421314173,0.16626418690829245,0.00014701342767057396,136,134
cell_13,0.577139,442.9604614807104,424.64605248906406,143.39107364128355,11457,39.0,647.4138954351051,295.8078903726979,0.020356086242858874,0.01216758953897984,0.938013735803967,0.25177033367340074,1038.6344320186574,870.0726880439281,0.6217633146982343,0.08831200041272035,0.166597461819201,0.00045641121534543527,127,137
cell_14,0.685807,407.5168106668145,394.81779106566955,145.16886718577092,10135,40.0,843.4365071534287,304.86827824370994,0.029363915446926472,0.020975631463463658,1.527604492672655,0.1666340779426337,1050.805529122262,638.1410958218523,1.290282577461878,0.24433243017023368,0.16664495559389386,1.4144878878305606e-05,109,145
cell_15,1.285082,282.45079348883235,271.6032499107214,91.19758768739445,5465,43.0,548.5741994510521,297.26623970722784,0.06748937528489082,0.04801383513696685,0.14809953732271428,0.1686147084292511,479.87201478027475,397.5606994646622,1.4743080990206974,0.09380926192892688,0.16055493398809462,9.818490079996226e-06,78,91
